type,id,geometry_type,geometry_coordinates_0,geometry_coordinates_1,properties_headline,properties_periods_0_closureType,properties_periods_0_direction,properties_periods_0_finishTime,properties_periods_0_fromDay,properties_periods_0_startTime,properties_periods_0_toDay,properties_speedLimit,properties_webLinkUrl,properties_expectedDelay,properties_ended,properties_isNewIncident,properties_publicTransport,properties_impactingNetwork,properties_subCategoryB,properties_isInitialReport,properties_created,properties_isMajor,properties_name,properties_subCategoryA,properties_adviceB,properties_adviceA,properties_end,properties_incidentKind,properties_mainCategory,properties_lastUpdated,properties_otherAdvice,properties_diversions,properties_additionalInfo_0,properties_webLinkName,properties_attendingGroups_0,properties_duration,properties_start,properties_displayName,properties_roads_0_conditionTendency,properties_roads_0_crossStreet,properties_roads_0_delay,properties_roads_0_locationQualifier,properties_roads_0_mainStreet,properties_roads_0_quadrant,properties_roads_0_queueLength,properties_roads_0_region,properties_roads_0_secondLocation,properties_roads_0_suburb,properties_roads_0_trafficVolume
Feature,50060,POINT,151.42253,-33.228657,CHANGED TRAFFIC CONDITIONS - TUGGERAH TO DOYALSON M1 Pacific Motorway,https://www.rms.nsw.gov.au/projects/m1-pacific-motorway/tuggerah-to-doyalson-motorway-widening/index.html,CHANGED TRAFFIC CONDITIONS - TUGGERAH TO DOYALSON M1 Pacific Motorway,-1,,,False,-1,,,False,False, ,False, ,False,1580439207560,False,,(p),Exercise caution,Check signage,1582290000000,Planned,Changed traffic conditions,1581511477467,"<p><strong>Sparks Road&nbsp;</strong>1 of 2 lanes closed in each direction with a standard lane merge and intermittent stoppages.</p><p><strong>M1 Pacific Motorway&nbsp;</strong>at Sparks Rd, 1 of 2 northbound lanes closed with a standard lane merge and intermittent stoppages. </p><p><strong>From 5am, Friday 14 Feb</strong>, the lane configuration will change for northbound motorists travelling from the Sparks Rd on-ramp to either the M1 Pacific Mwy or Doyalson Link Rd. Motorists should be prepared for changed merging arrangements.</p>", , ,, ,,1581530400000,CHANGED TRAFFIC CONDITIONS,,,,at,M1 Pacific Motorway,,0,REG_NORTH, ,Tuggerah to Doyalson,
Feature,50065,POINT,151.40363,-33.25364,CHANGED TRAFFIC CONDITIONS M1 Pacific Motorway upgrade - WARNERVALE M1 Pacific Motorway,LANE_CLOSURE,Northbound,5:00am,Sunday,8:30pm,,-1,,,False,False, ,False, ,False,1580440194353,False,,(p),Exercise caution,Check signage,1583065800000,Planned,Changed traffic conditions,1581571959350,"<p>During work, 1 of 2 northbound lanes will close.</p><p>Then, from 5am Monday 24 February, the northbound carriageway will laterally shift to the left back onto permanent lanes 1 and 2 and the speed limit will remain at 80km/h between the northbound twin service centre and Sparks Rd, Warnervale.</p>", , ,, ,,1582376400000,CHANGED TRAFFIC CONDITIONS M1 Pacific Motorway upgrade,,,,at,M1 Pacific Motorway,,0,REG_NORTH, ,Warnervale,
Feature,50105,POINT,151.17932,-33.91258,CHANGED TRAFFIC CONDITIONS - ST PETERS Princes Highway at Campbell St,LANE_CLOSURE,Southbound,,Every Day,all day,,-1,,,False,False, ,False, ,False,1580468501667,False,,(p),Exercise caution,Check signage,1582893000000,Planned,Changed traffic conditions,1581568585980,"Lane 1 southbound on the northern approach to the
Campbell St intersection will become a merge lane, with traffic merging right. Lane changes will become permanent.", , ,, ,,1580216400000,CHANGED TRAFFIC CONDITIONS,,Campbell St,,at,Princes Highway,,0,SYD_MET, ,St Peters,
Feature,50309,POINT,150.0282,-33.79603,"CHANGED TRAFFIC CONDITIONS - JENOLAN Jenolan Caves Road between Five Mile AND Two Mile ",https://www.rfs.nsw.gov.au/fire-information/fires-near-me,Live Traffic Icons & Lines legend,https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,"CHANGED TRAFFIC CONDITIONS - JENOLAN Jenolan Caves Road between Five Mile AND Two Mile ",-1,,-1,,,False,False, ,True, ,False,1580660608437,False,,(u\p), ,Exercise caution,1581448910240,Unplanned,Changed traffic conditions,1581448910240,<p><strong></strong><strong></strong><strong>Jenolan Caves Rd is closed until further notice. Traffic control crews are in place 24 hours a day. </strong></p><p><strong>Jenolan Caves are also closed.</strong><br><strong></strong></p>, , ,,Local Council,BBBBBBBBBBBBBBB,tjlmEkgtr[eAsBUiAX}A`@aHVa@|@SP]a@yAc@y@C}Aw@_B@_C,CHANGED TRAFFIC CONDITIONS,,Five Mile,,between,Jenolan Caves Road,,0,REG_WEST,Two Mile,Jenolan,
Feature,50312,POINT,150.26033,-33.561764,"HAZARD Bush fire damage - BELL TO MOUNT VICTORIA Darling Causeway between Bells Line of Road AND Station St ",https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,"HAZARD Bush fire damage - BELL TO MOUNT VICTORIA Darling Causeway between Bells Line of Road AND Station St ",60,,,False,60,,,False,False, ,True, ,False,1580661126943,False,,(u\p),Exercise caution; Allow extra travel time,Reduced speed limit, ,Unplanned,Changed traffic conditions,1581448849290,"<p><strong>Darling Causeway is open.&nbsp;</strong>Motorists are advised to allow extra travel time due to a reduced speed limit, as the clean-up operation continues.<em></em></p>", , ,,Transport for NSW,,,HAZARD Bush fire damage,,Bells Line of Road,,between,Darling Causeway,,0,SYD_WEST,Station St,Bell to Mount Victoria,
Feature,50623,POINT,150.35818,-33.571922,HAZARD Bush fire damage - BILPIN TO BELL Bells Line of Rd,https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,HAZARD Bush fire damage - BILPIN TO BELL Bells Line of Rd,60,,,False,60,,,False,False, ,True, ,False,1580927684943,False,,,Check signage,Reduced speed limit, ,Unplanned,Hazard,1581448734333,"<p><strong>Bells Line of Rd is open. </strong>Motorists are advised to allow extra travel time due to a reduced speed limit, as the clean-up operation continues.<br><strong></strong><strong></strong></p>", , ,,Local Council,Both directions,,HAZARD Bush fire damage,,,,-,Bells Line of Rd,,0,SYD_WEST, ,Bilpin to Bell,
Feature,50663,POINT,149.6927,-36.862152,HAZARD Bush fire damage - BEGA VALLEY COUNCIL Various roads,https://www.begavalley.nsw.gov.au/cp_themes/default/page.asp?p=DOC-EXJ-60-54-35,HAZARD Bush fire damage - BEGA VALLEY COUNCIL Various roads,-1,,,False,-1,,,False,False, ,True, ,False,1580951937243,False,,,Allow extra travel time,Exercise caution, ,Unplanned,Hazard,1581448706867,<p>There are a number of road closures in the Bega Valley Council area due to earlier bush fires. Please check the council link for exact roads and closure information.&nbsp;</p>, , ,,Local Council,Various roads,,HAZARD Bush fire damage,,,,at,Various roads,,0,REG_SOUTH, ,Bega Valley Council,
Feature,50679,POINT,150.89769,-33.802834,CHANGED TRAFFIC CONDITIONS M4 Smart Motorway project - PROSPECT M4 eastbound and westbound entry ramps from Reservoir Rd,LANE_CLOSURE,Both directions,,Tuesday,all day,,-1,,,False,False, ,True, ,False,1580966491167,False,,(p), , ,1582185600000,Planned,Changed traffic conditions,1581534008347,"<p>Ramp signals are quick changing traffic lights on motorway entry ramps that manage the flow of vehicles entering the motorway.</p><p>The M4 Mwy - Reservoir Rd east and westbound ramp metering signals that are part of the M4 Smart Motorway project will begin testing from Tues 11 to Thurs 13 Feb during the morning and afternoon peak periods. That is, from 6am - 10am and from 3pm - 7pm.</p><p>Motorists are advised to obey traffic signal operations.</p>", , ,,Transport for NSW,,1581361200000,CHANGED TRAFFIC CONDITIONS M4 Smart Motorway project,,Reservoir Rd,,from,M4 eastbound and westbound entry ramps,,0,SYD_WEST, ,Prospect,
Feature,50963,POINT,151.4038,-33.257137,CHANGED TRAFFIC CONDITIONS M1 Pacific Motorway upgrade - WARNERVALE TO ALISON M1 Pacific Motorway,LANE_CLOSURE,Southbound,4:00am,Friday,8:00pm,,-1,,,False,False, ,False, ,False,1581114247027,False,,(p),Exercise caution,Check signage,1582977600000,Planned,Changed traffic conditions,1581570865530,"<p>During work, 1 of 2 southbound lanes will be closed. </p><p>Then, from 4am Saturday 22 February, the southbound carriageway will laterally shift to the left back onto permanent lanes 1 and 2 and the speed limit will remain at 80km/h between the southbound twin service centre on-ramp, at Warnervale, and Alison Rd, Alison.</p>", , ,, ,,1582203600000,CHANGED TRAFFIC CONDITIONS M1 Pacific Motorway upgrade,,,,at,M1 Pacific Motorway,,0,REG_NORTH, ,Warnervale to Alison,
Feature,51081,POINT,153.03053,-29.62139,"FERRY OUT OF SERVICE due to flooding - ULMARRA Ulmarra Ferry between Pacific Highway AND Wharf Road ",-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581192932707,False,,Breakdown,Use an alternative route,Avoid the area,,Unplanned,Ferry out of service,1581536057217,The ferry will be out of service until further notice.&nbsp;,Grafton Bridge, ,,Mechanic,,,FERRY OUT OF SERVICE due to flooding,,Pacific Highway,,between,Ulmarra Ferry,,0,REG_NORTH,Wharf Road,Ulmarra,
Feature,51111,POINT,150.8747,-33.50125,FERRY OUT OF SERVICE due to flooding - SACKVILLE FERRY Sackville Road at Sackville Ferry Road,https://bit.ly/2uzFa3R,FERRY OUT OF SERVICE due to flooding - SACKVILLE FERRY Sackville Road at Sackville Ferry Road,-1,,,False,-1,,,False,False, ,True, ,False,1581199447357,True,,Breakdown,Use an alternative route,Avoid the area, ,Unplanned,Ferry out of service,1581460108370, , , ,, ,,Both directions,FERRY OUT OF SERVICE due to flooding,,Sackville Ferry Road,,at,Sackville Road,,0,SYD_WEST, ,Sackville ferry,
Feature,51128,POINT,150.98022,-33.387417,FERRY OUT OF SERVICE due to flooding - WEBBS CREEK FERRY River Road at St Albans Road,-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581202941443,False,,Breakdown, ,Use an alternative route,,Unplanned,Ferry out of service,1581542992777, , , ,, ,,,FERRY OUT OF SERVICE due to flooding,,St Albans Road,,at,River Road,,0,SYD_WEST, ,Webbs Creek ferry,
Feature,51161,POINT,153.11511,-29.494612,"FERRY OUT OF SERVICE due to flooding - LAWRENCE Bluff Point Ferry over Clarence River between Lawrence Rd AND Rutland St ",-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581208704190,False,,Breakdown,Use an alternative route,Avoid the area,,Unplanned,Ferry out of service,1581536804443, , , ,,Transport for NSW,,,FERRY OUT OF SERVICE due to flooding,,Lawrence Rd,,between,Bluff Point Ferry over Clarence River,,0,REG_NORTH,Rutland St,Lawrence,
Feature,51169,POINT,150.8868,-33.438213,"FERRY OUT OF SERVICE due to flooding - LOWER PORTLAND Lower Portland Ferry between West Portland Rd AND River Rd ",https://bit.ly/2uzFa3R,"FERRY OUT OF SERVICE due to flooding - LOWER PORTLAND Lower Portland Ferry between West Portland Rd AND River Rd ",-1,,,False,-1,,,False,False, ,True, ,False,1581210126497,False,,Breakdown, ,Use an alternative route, ,Unplanned,Ferry out of service,1581453255457, , , ,,Local Council,,Both directions,FERRY OUT OF SERVICE due to flooding,,West Portland Rd,,between,Lower Portland Ferry,,0,SYD_WEST,River Rd,Lower Portland,
Feature,51196,POINT,150.72409,-33.584778,CHANGED TRAFFIC CONDITIONS Due to earlier flooding - RICHMOND Bells Line of Road on Richmond Bridge,40,,,False,False, ,40,,,False,False, ,True, ,False,1581219392967,False,,(u\p),Exercise caution; Allow extra travel time,Reduced speed limit,,Unplanned,Changed traffic conditions,1581567858783,<p>No pedestrian access permitted on the bridge.<br></p>, , ,,Local Council,Affected,,CHANGED TRAFFIC CONDITIONS Due to earlier flooding,,Richmond Bridge,,on,Bells Line of Road,,0,SYD_WEST, ,Richmond,
Feature,51205,POINT,150.82219,-33.603184,"CHANGED TRAFFIC CONDITIONS Due to earlier flooding - WINDSOR Windsor Bridge over the Hawkesbury River between Wilberforce Road AND George St ",40,,,False,False, ,40,,,False,False, ,True, ,False,1581220770543,False,,(u\p),Exercise caution; Check signage,Reduced speed limit,,Unplanned,Changed traffic conditions,1581567786280,"<p><strong>Windsor Bridge has reopened.</strong> However, there is a 40km/h speed limit, a 15 tonne load limit, and no pedestrian access.</p>", , ,,Transport for NSW,,Affected,CHANGED TRAFFIC CONDITIONS Due to earlier flooding,,Wilberforce Road,,between,Windsor Bridge over the Hawkesbury River,,0,SYD_WEST,George St,Windsor,
Feature,51206,POINT,151.00645,-33.788334,"HAZARD culvert collapse - NORTH PARRAMATTA North Rocks Road between Church Street AND Loyalty Road, North Rocks ",-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581220963053,False,,,Use an alternative route,Avoid the area,,Unplanned,Hazard,1581569058057, ,"Bettington Rd, James Ruse Dr and Pennant Hills Rd, in both directions.&nbsp;", ,,Local Council,,Church Street,HAZARD culvert collapse,,Church Street,,between,North Rocks Road,,0,SYD_WEST,Loyalty Road,North Parramatta,
Feature,51254,POINT,150.98923,-33.379414,MAIN FERRY BACK IN SERVICE - WISEMANS FERRY Old Northern Road at Wisemans Ferry Road,-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581232014127,False,,Breakdown,Allow extra travel time,Exercise caution,,Unplanned,Ferry out of service,1581578306030,The smaller ferry will be out of service until further notice.&nbsp;, , ,, ,Affected,,MAIN FERRY BACK IN SERVICE,,Wisemans Ferry Road,,at,Old Northern Road,,0,REG_NORTH, ,Wisemans Ferry,
Feature,51314,POINT,150.82826,-33.432297,"HAZARD Road damage - COLO Putty Road over Colo River between Lower Colo Road AND Gills Road ",40,,,False,False, ,40,,,False,False, ,True, ,False,1581247784800,False,,Road damage,Check signage; Exercise caution,Reduced speed limit,,Unplanned,Hazard,1581562485090,<p>Putty Rd is now OPEN but with a reduced speed limit.</p><p><strong>Motorists are also advised that there is a 15 tonne weight restriction on Windsor Bridge and a 40km/h speed limit. </strong> </p>, , ,,Transport for NSW,Affected,,HAZARD Road damage,,Lower Colo Road,,between,Putty Road over Colo River,,0,SYD_WEST,Gills Road,Colo,
Feature,51452,POINT,151.1501,-33.825058,TRAFFIC LIGHTS BLACKED OUT Power failure - LINLEY POINT Burns Bay Rd at View St,https://bit.ly/2voNHa4,TRAFFIC LIGHTS BLACKED OUT Power failure - LINLEY POINT Burns Bay Rd at View St,-1,,,False,-1,,,False,False, ,True, ,False,1581324289090,False,,Power failure,Reduce your speed,Exercise caution, ,Unplanned,Traffic lights blacked out,1581558432377, , , ,,Utility Company,,,TRAFFIC LIGHTS BLACKED OUT Power failure,,View St,,at,Burns Bay Rd,,0,SYD_NORTH, ,Linley Point,
Feature,51453,POINT,151.27489,-33.890568,TRAFFIC LIGHTS BLACKED OUT Power failure - BONDI BEACH Campbell Pde at Roscoe St,https://bit.ly/2OGyGHc,TRAFFIC LIGHTS BLACKED OUT Power failure - BONDI BEACH Campbell Pde at Roscoe St,-1,,,False,-1,,,False,False, ,True, ,False,1581325027483,False,,Power failure,Reduce your speed,Exercise caution, ,Unplanned,Traffic lights blacked out,1581541922747,Pedestrian crossing lights are also blacked out., , ,,Utility Company,,,TRAFFIC LIGHTS BLACKED OUT Power failure,,Roscoe St,,at,Campbell Pde,,0,SYD_MET, ,Bondi Beach,
Feature,51536,POINT,151.03511,-33.72216,TRAFFIC LIGHTS BLACKED OUT - CHERRYBROOK New Line Rd at Purchase Rd,-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581371761190,False,,Power failure, ,Exercise caution,,Unplanned,Traffic lights blacked out,1581558410027, , , ,,Transport for NSW,Affected,,TRAFFIC LIGHTS BLACKED OUT,,Purchase Rd,,at,New Line Rd,,0,SYD_NORTH, ,Cherrybrook,
Feature,51565,POINT,150.3235,-34.474567,CHANGED TRAFFIC CONDITIONS Due to damaged bridge - BERRIMA Hume Motorway at Wingecarribee River bridge,-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581392258800,False,,(u\p),Reduce your speed; Exercise caution,Check signage,,Unplanned,Changed traffic conditions,1581574225920,There is also a 5 metre width restriction&nbsp;for oversize &amp;/or overmass (OSOM) vehicles. <br>Loads in excess of 5 metres wide will need to contact the OSOM Road Access Unit on 1300 656 371., , ,, ,Lanes closed,2,CHANGED TRAFFIC CONDITIONS Due to damaged bridge,,Wingecarribee River bridge,,at,Hume Motorway,,0,REG_SOUTH, ,Berrima,
Feature,51678,POINT,153.5401,-28.18729,TRAFFIC LIGHTS BLACKED OUT - SOUTH TWEED HEADS Minjunbal Dr at Dry Dock Rd,-1,,,False,False, ,-1,,,False,False, ,True, ,False,1581465659053,False,,,Exercise caution,Reduce your speed,,Unplanned,Traffic lights blacked out,1581536864670, , , ,,Transport for NSW,Affected,,TRAFFIC LIGHTS BLACKED OUT,,Dry Dock Rd,,at,Minjunbal Dr,,0,REG_NORTH, ,South Tweed Heads,
